,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
601,0.8822793006896973,0.02075978244801233,0.0949716567993164,0.0021742838653288697,20,15,15,21,1000,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 21, 'n_estimators': 1000}",0.7566056465552319,0.7339396815185238,0.7548490450691386,0.7818784528193414,0.834148223533431,0.7722842098991334,0.034465376417691165,135,0.8163430137574108,0.8043407374422804,0.7985019007978617,0.7970196795465742,0.7934325926135062,0.8019275848315267,0.008020170008282937
602,0.13964028358459474,0.0033860076613419104,0.018218517303466797,0.00102986007360643,20,15,15,26,100,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 26, 'n_estimators': 100}",0.750611913052148,0.7347837779684129,0.7546935076251136,0.7830130839616117,0.8405774787154403,0.7727359522645453,0.03731879580197893,122,0.8132816982559081,0.8048601172404245,0.8003978920620202,0.7994106068616574,0.7907050002305934,0.8017310629301206,0.007374877312732541
603,0.89439697265625,0.01702949799977599,0.09528112411499023,0.001337001224126277,20,15,15,26,1000,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 26, 'n_estimators': 1000}",0.7566056465552319,0.7339396815185238,0.7548490450691385,0.7818784528193414,0.834148223533431,0.7722842098991334,0.03446537641769117,135,0.8163430137574108,0.8043407374422804,0.7985019007978617,0.7970196795465742,0.7934325926135062,0.8019275848315267,0.008020170008282937
604,0.14072775840759277,0.002051073767537213,0.01891798973083496,0.0006398119075169484,20,15,15,31,100,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 31, 'n_estimators': 100}",0.7519324116206894,0.7325992314144414,0.7526209698363567,0.7795214531348464,0.8413581069228888,0.7716064345858445,0.03793947881320473,148,0.8157918644146384,0.8020022876867001,0.7998170494889324,0.797929574950265,0.7908660548393935,0.8012813662759859,0.00816004564910637
605,0.884405517578125,0.01550721333250361,0.09617486000061035,0.0017067443574123678,20,15,15,31,1000,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 31, 'n_estimators': 1000}",0.7564263365533119,0.7337326980927444,0.75425293026176,0.7817203599991759,0.8351739511367879,0.772261255208756,0.03494846520816628,145,0.8157990391751284,0.8036755462722078,0.7983514732649799,0.7972439878576575,0.7937274581140148,0.8017595009367977,0.007711006245097688
606,0.14381165504455568,0.006068189984446133,0.01689009666442871,0.0010114321922097696,20,15,15,36,100,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 36, 'n_estimators': 100}",0.7502651190440464,0.7317778182937247,0.7484990992871912,0.7812299103302646,0.830490018608812,0.7684523931128078,0.03488801293891366,160,0.8123758145934425,0.8013445625739201,0.7945019194407792,0.7976179260180182,0.7893232163769294,0.7990326878006179,0.007748381066213384
607,0.9059979438781738,0.06796241744009378,0.09457802772521973,0.0004869642601708248,20,15,15,36,1000,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 15, 'min_samples_split': 36, 'n_estimators': 1000}",0.7509440397642044,0.7295731073896172,0.7526114232926813,0.7769405467153578,0.8325758127438321,0.7685289859811386,0.03536356878084201,158,0.8089364337040005,0.7987280220876619,0.7945920350785709,0.7937297590519331,0.7895340848881329,0.7971040669620599,0.006597621080682579
608,2.9016064643859862,1.295647783566797,0.0,0.0,20,15,20,1,100,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 20, 'min_samples_split': 1, 'n_estimators': 100}",,,,,,,,931,,,,,,,
609,3.8072041988372805,0.13931012274313292,0.0,0.0,20,15,20,1,1000,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 20, 'min_samples_split': 1, 'n_estimators': 1000}",,,,,,,,910,,,,,,,
610,0.789091682434082,1.2911627608797254,0.019186687469482423,0.0007343709828529332,20,15,20,6,100,"{'max_depth': 20, 'max_features': 15, 'min_samples_leaf': 20, 'min_samples_split': 6, 'n_estimators': 100}",0.7340930860907499,0.7203297523944351,0.734436917919098,0.7666858973992288,0.8173763772804563,0.7545844062167936,0.03489548541746287,199,0.7910960091047824,0.7886587696380769,0.7800952049877166,0.7790301027483656,0.7726348619589427,0.7823029896875768,0.0067345664333424374
